GENESIS-Tabelle: 23211-0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deaths: Germany, years, causes of death, sex, age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Causes of death statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deaths (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex;Sex
;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups;Age groups
;;under 1 year;1 to under 15 years;15 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 70 years;70 to under 75 years;75 to under 80 years;80 to under 85 years;85 years and over;age unknown;under 1 year;1 to under 15 years;15 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 70 years;70 to under 75 years;75 to under 80 years;80 to under 85 years;85 years and over;age unknown
2003;Certain infectious and parasitic diseases;21;34;17;18;29;73;130;179;248;247;260;458;653;730;801;616;632;-;11;26;12;7;15;50;67;74;102;114;131;252;380;644;991;1171;1698;-
2003;Tuberculosis, including its sequelae;-;1;-;-;1;2;8;8;20;18;13;37;25;49;56;44;38;-;-;-;-;1;-;-;4;2;8;2;10;9;11;20;46;43;36;-
2003;Meningococcal infection;4;11;4;1;-;1;3;2;2;-;1;2;2;2;3;-;-;-;3;9;4;1;1;1;-;-;2;1;-;-;-;2;3;4;-;-
2003;Viral hepatitis;-;-;-;3;7;12;21;30;62;64;43;59;79;77;86;49;27;-;-;-;1;1;-;4;4;17;16;20;19;34;61;117;156;122;52;-
2003;HIV disease;1;-;1;2;11;37;55;84;61;42;32;36;18;11;2;-;-;-;-;1;1;-;4;26;34;18;14;5;5;-;4;-;1;-;1;-
2003;Neoplasms;15;176;82;127;139;345;709;1470;3064;5365;7709;14847;18509;19518;17779;13294;10009;-;10;133;68;80;132;334;860;1674;2749;4275;5289;9173;11287;12888;16256;17433;18990;-
2003;Malignant neoplasms;11;166;76;126;134;339;691;1445;3022;5314;7625;14668;18231;19103;17314;12848;9590;-;5;126;66;76;127;327;848;1658;2714;4242;5249;9055;11113;12624;15733;16721;17868;-
